timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311115607973506,477,222,99,0
20260311115608979260,466,222,95,0
20260311115609977415,410,222,83,0
20260311115610978477,469,222,97,0
20260311115611978835,478,222,99,0
20260311115612980400,476,221,98,0
20260311115613981700,475,221,98,0
20260311115614983769,477,222,99,0
20260311115615986094,473,222,98,0
20260311115616986573,475,222,98,0
20260311115617988405,474,221,98,0
20260311115618990121,477,221,98,0
20260311115619990666,479,221,99,0
20260311115620992736,464,221,95,0
20260311115621993196,393,221,78,0
20260311115622995816,472,221,97,0
