timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311121430826602,558,222,117,0
20260311121431829285,598,222,127,0
20260311121432829202,608,222,129,0
20260311121433830317,599,222,127,0
20260311121434830156,598,222,127,0
20260311121435831673,598,222,127,0
20260311121436832896,598,222,127,0
20260311121437833785,599,222,127,0
20260311121438833212,604,222,128,0
20260311121439833291,601,222,128,0
20260311121440835839,599,222,127,0
20260311121441837364,597,222,127,0
20260311121442839534,597,222,127,0
20260311121443838268,598,222,127,0
20260311121444839328,606,222,129,0
20260311121445839242,597,222,127,0
20260311121446842385,589,222,125,0
20260311121447841107,534,223,112,0
20260311121448843427,534,222,112,0
20260311121449843080,564,222,119,0
20260311121450842802,573,222,121,0
20260311121451844724,579,222,122,0
20260311121452846171,569,223,120,0
20260311121453846430,570,223,120,0
20260311121454848628,578,223,122,0
20260311121455850229,627,223,134,0
20260311121456868295,634,223,135,0
20260311121457854576,628,223,134,0
