timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/14 14:12:42.363, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.35, 47
2026/03/14 14:12:43.379, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.36, 47
2026/03/14 14:12:44.379, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.36, 47
2026/03/14 14:12:45.381, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 8.16, 48
2026/03/14 14:12:46.381, 0, NVIDIA GB10, 2, 0, [N/A], [N/A], 11.23, 48
2026/03/14 14:12:47.770, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.82, 48
2026/03/14 14:12:48.770, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 12.24, 48
2026/03/14 14:12:49.770, 0, NVIDIA GB10, 2, 0, [N/A], [N/A], 11.57, 48
2026/03/14 14:12:50.771, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 36.80, 53
2026/03/14 14:12:51.772, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 29.17, 49
2026/03/14 14:12:52.772, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 81.07, 59
2026/03/14 14:12:53.773, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 69.78, 55
2026/03/14 14:12:54.773, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.25, 55
2026/03/14 14:12:55.774, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 37.53, 52
2026/03/14 14:12:56.775, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 63.94, 61
2026/03/14 14:12:57.775, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 79.09, 58
2026/03/14 14:12:58.775, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 44.40, 57
2026/03/14 14:12:59.776, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 44.55, 57
2026/03/14 14:13:00.776, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 36.12, 57
2026/03/14 14:13:01.777, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 37.15, 58
2026/03/14 14:13:02.777, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 34.63, 53
2026/03/14 14:13:03.778, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 37.33, 54
2026/03/14 14:13:04.778, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 40.38, 58
2026/03/14 14:13:05.779, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 34.75, 58
2026/03/14 14:13:06.779, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 31.30, 58
2026/03/14 14:13:07.780, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 34.10, 58
2026/03/14 14:13:08.781, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 42.99, 58
2026/03/14 14:13:09.781, 0, NVIDIA GB10, 67, 0, [N/A], [N/A], 32.88, 56
2026/03/14 14:13:10.781, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 25.42, 54
2026/03/14 14:13:11.782, 0, NVIDIA GB10, 83, 0, [N/A], [N/A], 42.77, 58
2026/03/14 14:13:12.783, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 59.19, 64
2026/03/14 14:13:13.783, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 78.88, 61
2026/03/14 14:13:14.784, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.81, 60
2026/03/14 14:13:15.785, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 38.36, 56
2026/03/14 14:13:16.785, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 66.56, 65
2026/03/14 14:13:17.785, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 79.44, 62
2026/03/14 14:13:18.786, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 45.33, 61
2026/03/14 14:13:19.786, 0, NVIDIA GB10, 50, 0, [N/A], [N/A], 41.82, 58
2026/03/14 14:13:20.787, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 59.72, 66
2026/03/14 14:13:21.787, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 59.84, 61
2026/03/14 14:13:22.788, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.30, 61
2026/03/14 14:13:23.789, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 44.93, 61
2026/03/14 14:13:24.789, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 44.36, 62
2026/03/14 14:13:25.789, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 54.40, 66
2026/03/14 14:13:26.790, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 62.37, 62
2026/03/14 14:13:27.791, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 45.45, 62
2026/03/14 14:13:28.791, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.64, 62
2026/03/14 14:13:29.791, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.40, 62
2026/03/14 14:13:30.792, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 48.07, 67
2026/03/14 14:13:31.792, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 56.34, 63
2026/03/14 14:13:32.793, 0, NVIDIA GB10, 88, 0, [N/A], [N/A], 45.54, 63
2026/03/14 14:13:33.793, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 38.83, 67
2026/03/14 14:13:34.794, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 69.29, 63
2026/03/14 14:13:35.794, 0, NVIDIA GB10, 64, 0, [N/A], [N/A], 42.84, 61
2026/03/14 14:13:36.794, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 59.07, 68
2026/03/14 14:13:37.795, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 61.34, 64
2026/03/14 14:13:38.795, 0, NVIDIA GB10, 58, 0, [N/A], [N/A], 36.64, 66
