timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311121510085814,532,223,112,1
20260311121511089086,582,223,123,0
20260311121512089116,625,219,131,0
20260311121513090280,635,219,133,0
20260311121514090249,635,219,133,0
20260311121515093783,650,219,137,0
20260311121516094048,641,219,135,0
20260311121517096069,633,219,133,0
20260311121518096592,633,219,133,0
20260311121519101582,633,219,133,0
20260311121520102512,634,219,133,0
20260311121521106722,642,219,135,0
20260311121522106489,639,219,135,0
20260311121523110859,635,219,134,0
