timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311123621870210,509,220,105,0
20260311123622877426,419,220,84,0
20260311123623873651,451,220,91,0
20260311123624879483,415,220,83,0
20260311123625880884,467,220,96,0
20260311123626882418,468,220,96,0
20260311123627883605,468,219,96,0
20260311123628884891,468,219,96,0
20260311123629885301,468,219,96,0
20260311123630887384,468,220,96,0
20260311123631890441,459,219,93,0
20260311123632890717,464,219,95,0
20260311123633890906,460,219,94,0
20260311123634894007,461,219,94,0
20260311123635890769,461,219,94,0
20260311123636891125,461,219,94,0
20260311123637898861,459,219,93,0
20260311123638898211,461,219,94,0
20260311123639896286,461,219,94,0
20260311123640896233,461,219,94,0
20260311123641902521,461,219,94,0
20260311123642904511,462,219,94,0
20260311123643900423,475,219,97,0
