timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311114450864031,486,221,100,0
20260311114451867668,408,221,81,0
20260311114452864066,408,221,81,0
20260311114453864984,463,221,95,0
20260311114454865295,467,221,96,0
20260311114455867226,470,221,97,0
20260311114456872224,467,221,96,0
20260311114457871848,466,221,96,0
20260311114458870822,466,221,96,0
20260311114459869566,466,221,96,0
20260311114500870984,469,221,96,0
20260311114501871343,500,221,103,0
20260311114502873584,493,221,102,0
20260311114503874044,413,221,83,0
20260311114504877403,407,221,82,0
20260311114505876669,532,221,111,0
