timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311121137332153,532,222,112,0
20260311121138332709,532,222,112,0
20260311121139334300,609,222,129,0
20260311121140335780,599,222,127,0
20260311121141337670,595,222,126,0
20260311121142339501,592,222,125,0
20260311121143342567,588,222,124,0
20260311121144341179,589,222,124,0
20260311121145343167,595,222,126,0
20260311121146344025,588,222,124,0
20260311121147344210,588,222,124,0
20260311121148345667,588,222,124,0
20260311121149346500,588,222,124,0
20260311121150349597,588,222,124,0
20260311121151348854,596,222,126,0
20260311121152350577,588,222,124,0
20260311121153353656,589,222,125,0
20260311121154353925,592,222,125,0
20260311121155354894,591,222,125,0
20260311121156357261,592,222,125,0
20260311121157358525,607,222,129,0
